ID,Ave. art rating,ImageOnly: agreeableness,ImageOnly: anger,ImageOnly: anticipation,ImageOnly: arrogance,ImageOnly: disagreeableness,ImageOnly: disgust,ImageOnly: fear,ImageOnly: gratitude,ImageOnly: happiness,ImageOnly: humility,ImageOnly: love,ImageOnly: optimism,ImageOnly: pessimism,ImageOnly: regret,ImageOnly: sadness,ImageOnly: shame,ImageOnly: shyness,ImageOnly: surprise,ImageOnly: trust,ImageOnly: neutral
57728255edc2cb3880f7644a,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
577285b4edc2cb388001c741,2.18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5772849eedc2cb3880fe72ab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577282b3edc2cb3880f89e19,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577284a7edc2cb3880fe813a,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
577288deedc2cb38800bdf0f,0.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
577288ddedc2cb38800bde1d,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577286cdedc2cb3880056d93,0.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57728742edc2cb388006c6c8,-0.64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
577284fbedc2cb3880ffab14,-0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
577287afedc2cb388007fc5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57728459edc2cb3880fdb65d,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5772819cedc2cb3880f501c7,-0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57727fe2edc2cb3880ef5ab8,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577284e7edc2cb3880ff375a,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5772842cedc2cb3880fd1c07,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
577283d7edc2cb3880fbee6c,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57728204edc2cb3880f63d8a,-0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57727f7bedc2cb3880ee1357,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57727fb8edc2cb3880eecaef,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577283d0edc2cb3880fbe34c,-0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5772812dedc2cb3880f3ad4d,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
577280f3edc2cb3880f30270,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5772845fedc2cb3880fdc0e9,2.6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
